,date,open,high,low,close,volume,amount
0,2014-02-18,3668.99,3685.1799,3658.6399,3679.4299,540628597,1985760000000
1,2014-02-19,3668.72,3679.6899,3646.1299,3652.8401,592347478,2169080000000
2,2014-02-20,3654.8501,3676.8899,3640.6299,3671.9299,636289738,2329500000000
3,2014-02-21,3683.4199,3687.1599,3661.46,3662.6001,641540260,2356800000000
4,2014-02-24,3670.0701,3701.27,3668.3401,3685.8101,621774632,2288980000000
5,2014-02-25,3689.6799,3697.6001,3669.53,3679.1399,590712928,2176180000000
6,2014-02-26,3691.8401,3702.0901,3663.75,3676.6001,588364794,2167280000000
7,2014-02-27,3678.3101,3704.6499,3672.6399,3699.8,579040367,2135990000000
8,2014-02-28,3703.48,3722.3799,3664.8301,3696.1001,635397512,2348870000000
9,2014-03-03,3657.3101,3678.3799,3637.6699,3668.3701,529738231,1939070000000
10,2014-03-04,3710.1899,3723.0,3706.8201,3719.9299,537506490,1996830000000
11,2014-03-05,3721.53,3732.98,3715.3799,3727.1899,568112484,2115800000000
12,2014-03-06,3735.8501,3738.3201,3709.4099,3720.9299,608396239,2266960000000
13,2014-03-07,3736.9299,3737.3601,3686.9399,3703.3999,544429388,2023190000000
14,2014-03-10,3702.1399,3709.77,3683.97,3706.3401,513927408,1901820000000
15,2014-03-11,3715.8899,3725.71,3681.3701,3691.5,522296671,1934390000000
16,2014-03-12,3678.3601,3707.2,3661.8701,3707.0601,547971976,2021260000000
17,2014-03-13,3719.3601,3720.6101,3636.79,3651.49,631281897,2324420000000
18,2014-03-14,3643.21,3656.9399,3626.8501,3627.8701,826566249,3007640000000
19,2014-03-17,3653.1899,3678.3201,3651.1399,3662.51,518022181,1896630000000
20,2014-03-18,3667.3999,3708.26,3664.79,3706.6201,542320516,1999410000000
21,2014-03-19,3705.51,3709.01,3661.0601,3682.74,548863385,2025080000000
22,2014-03-20,3675.6101,3705.3101,3665.8301,3693.97,554796299,2044520000000
23,2014-03-21,3711.47,3717.3601,3643.3501,3653.0701,993403443,3657030000000
24,2014-03-24,3665.3799,3665.5801,3585.1499,3617.3899,805846582,2927940000000
25,2014-03-25,3640.26,3659.5901,3600.6499,3629.73,765739273,2781590000000
26,2014-03-26,3645.73,3654.6899,3582.8401,3582.8899,767576028,2775970000000
27,2014-03-27,3578.53,3594.0701,3543.0701,3563.1299,756945518,2702070000000
28,2014-03-28,3576.1799,3609.0801,3560.5801,3571.49,616065567,2205100000000
29,2014-03-31,3598.0801,3618.4199,3593.7,3595.74,597688733,2152570000000
30,2014-04-01,3615.9099,3659.1599,3614.1599,3658.3999,656387753,2387220000000
31,2014-04-02,3670.3301,3676.3601,3649.79,3665.99,683933313,2507040000000
32,2014-04-03,3670.4299,3675.7,3617.4099,3637.5801,663170704,2420760000000
33,2014-04-04,3659.9199,3663.78,3532.28,3539.3799,942960059,3393560000000
34,2014-04-07,3522.21,3551.21,3482.75,3507.75,893004310,3139790000000
35,2014-04-08,3511.8201,3543.98,3499.0,3538.23,838410974,2953940000000
36,2014-04-09,3552.0701,3602.3501,3544.0901,3600.4399,746650542,2669080000000
37,2014-04-10,3597.5801,3599.6399,3479.1499,3487.76,921941401,3264620000000
38,2014-04-11,3453.24,3502.3301,3440.55,3446.8401,792179924,2741530000000
39,2014-04-14,3479.6599,3493.1699,3443.26,3474.6299,592035682,2055950000000
40,2014-04-15,3484.29,3505.6699,3414.1101,3487.8501,755480998,2623770000000
41,2014-04-16,3517.5,3533.0901,3489.29,3533.0901,653547820,2299340000000
42,2014-04-17,3526.5701,3551.02,3511.27,3534.53,647277650,2285440000000
43,2014-04-21,3543.6499,3559.95,3525.5901,3559.95,480303593,1703770000000
44,2014-04-22,3570.51,3596.9199,3566.8701,3588.8,576686183,2064980000000
45,2014-04-23,3587.6499,3588.04,3555.1899,3557.04,556021213,1986100000000
46,2014-04-24,3609.8201,3613.2,3552.9299,3591.03,784459482,2817580000000
47,2014-04-25,3569.9199,3573.95,3525.6001,3533.1001,733039603,2602760000000
48,2014-04-28,3546.96,3570.1101,3489.6001,3545.02,826629167,2924550000000
49,2014-04-29,3557.77,3579.03,3538.24,3573.99,579902203,2065760000000
50,2014-04-30,3556.0,3585.5,3548.1101,3582.02,660807718,2357700000000
51,2014-05-01,3589.6599,3613.03,3580.02,3594.3601,606897152,2181350000000
52,2014-05-02,3608.8401,3611.5601,3578.53,3587.6399,541326318,1946960000000
53,2014-05-05,3566.26,3605.26,3556.3999,3605.0901,427868524,1533160000000
54,2014-05-06,3598.27,3599.6499,3556.1001,3556.51,511048446,1828340000000
55,2014-05-07,3561.47,3567.55,3506.3501,3546.47,800831503,2839320000000
56,2014-05-08,3533.3899,3583.6399,3524.8501,3540.4199,653486818,2316990000000
57,2014-05-09,3537.6799,3556.3501,3516.24,3555.7,524869690,1858820000000
58,2014-05-12,3574.24,3613.3701,3572.6899,3612.73,523577192,1881350000000
59,2014-05-13,3614.9099,3625.77,3605.78,3611.1299,590206838,2133240000000
60,2014-05-14,3603.5801,3614.6299,3585.6799,3593.25,503468488,1812130000000
61,2014-05-15,3594.5901,3598.3401,3542.6299,3565.1699,721892515,2580900000000
62,2014-05-16,3568.2,3590.4099,3545.6299,3587.2,615893108,2200500000000
63,2014-05-19,3577.8501,3618.96,3572.28,3615.6201,518190911,1863510000000
64,2014-05-20,3612.8601,3624.6001,3585.8799,3600.3101,576092300,2077340000000
65,2014-05-21,3605.79,3636.47,3605.51,3635.6101,537758708,1947140000000
66,2014-05-22,3639.49,3660.5901,3633.8501,3650.8601,515133395,1878280000000
67,2014-05-23,3656.27,3678.1699,3646.23,3677.3301,432381319,1584460000000
68,2014-05-27,3693.1799,3723.0601,3691.0901,3723.0601,531770346,1971590000000
69,2014-05-28,3720.8899,3726.72,3708.6499,3712.26,491424777,1826690000000
70,2014-05-29,3723.27,3735.72,3717.6599,3735.72,487738644,1818330000000
71,2014-05-30,3738.71,3741.5701,3716.0901,3736.8201,580276847,2166350000000
72,2014-06-02,3740.71,3740.71,3707.8899,3732.96,441548601,1647230000000
73,2014-06-03,3719.1699,3735.97,3715.46,3730.0701,485821793,1809770000000
74,2014-06-04,3720.0,3750.01,3715.24,3743.5901,451352238,1684540000000
75,2014-06-05,3748.3601,3782.0,3735.1899,3776.95,518318481,1949200000000
76,2014-06-06,3792.4199,3795.1399,3782.1201,3794.5701,479951491,1819530000000
77,2014-06-09,3795.8501,3804.04,3783.8999,3795.74,542349003,2058150000000
78,2014-06-10,3790.48,3802.46,3786.5601,3800.8601,602754982,2287510000000
79,2014-06-11,3789.4099,3803.95,3783.6101,3797.8501,528305234,2004230000000
80,2014-06-12,3790.5901,3794.99,3751.6899,3763.8,536658600,2026030000000
81,2014-06-13,3782.8401,3784.8401,3759.8701,3775.5601,537919249,2031060000000
82,2014-06-16,3768.3701,3789.9299,3761.4199,3779.9299,478522499,1806380000000
83,2014-06-17,3775.73,3790.9199,3769.9399,3781.3201,488707943,1847060000000
84,2014-06-18,3786.1899,3807.49,3764.53,3804.6101,560005185,2122810000000
