group0,group1,group2,code,name,variety,underlying,fundCompanyCode,link
A股,大盘,50,001051,华夏上证50ETF联接A,上证50,000016,0000031,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=001051&orgId=jjjl0000031#latestAnnouncement
A股,大盘,300,000051,华夏沪深300ETF联接A,沪深300,000300,0000031,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=000051&orgId=jjjl0000031#latestAnnouncement
A股,大盘,300,005658,华夏沪深300ETF联接C,沪深300C,000300,0000031,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=005658&orgId=jjjl0000031#latestAnnouncement
A股,大盘,300,100038,富国沪深300指数增强A,富国300,000300,0000040,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=100038&orgId=jjjl0000040#latestAnnouncement
A股,中小盘,500,001052,华夏中证500ETF联接A,中证500,000905,0000031,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=001052&orgId=jjjl0000031#latestAnnouncement
A股,中小盘,500,161017,富国中证500指数增强A,富国500,000905,0000040,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=161017&orgId=jjjl0000040#latestAnnouncement
A股,中小盘,500,002903,广发中证500ETF联接C,中证500C类,000905,0000065,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=002903&orgId=jjjl0000065#latestAnnouncement
A股,中小盘,500,000478,建信中证500指数增强A,建信500,000905,0000097,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=000478&orgId=jjjl0000097#latestAnnouncement
A股,中小盘,创业板,110026,易方达创业板ETF联接A,易方达创业板,399006,0000041,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=110026&orgId=jjjl0000041#latestAnnouncement
A股,中小盘,创业板,003765,广发创业板ETF联接A,广发创业板,399006,0000065,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=003765&orgId=jjjl0000065#latestAnnouncement
A股,价值,红利,100032,富国中证红利指数增强A,中证红利,000922,0000040,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=100032&orgId=jjjl0000040#latestAnnouncement
A股,行业,医药,162412,华宝医疗ETF联接A,华宝医疗A,399989,0000062,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=162412&orgId=jjjl0000062#latestAnnouncement
A股,行业,医药,012323,华宝医疗ETF联接C,华宝医疗C,399989,0000062,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=012323&orgId=jjjl0000062#latestAnnouncement
A股,行业,医药,002708,大摩健康产业混合A,大摩健康产业,000991,0000067,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=002708&orgId=jjjl0000067#latestAnnouncement
A股,行业,医药,001180,广发医药卫生联接A,全指医药,000991,0000065,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=001180&orgId=jjjl0000065#latestAnnouncement
A股,行业,医药,000727,融通健康产业灵活配置混合A,融通健康产业,000991,0000043,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=000727&orgId=jjjl0000043#latestAnnouncement
A股,行业,养老,000968,广发养老指数A,养老产业,399812,0000065,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=000968&orgId=jjjl0000065#latestAnnouncement
A股,行业,消费,110022,易方达消费行业,易方达消费行业,000942,0000041,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=110022&orgId=jjjl0000041#latestAnnouncement
A股,行业,消费,519915,富国消费主题混合A,富国消费,000990,0000040,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=519915&orgId=jjjl0000040#latestAnnouncement
A股,行业,消费,011309,富国消费主题混合C,富国消费C,000990,0000040,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=011309&orgId=jjjl0000040#latestAnnouncement
A股,行业,传媒,004752,广发中证传媒ETF联接A,中证传媒,399971,0000065,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=004752&orgId=jjjl0000065#latestAnnouncement
A股,行业,证券,502010,易方达中证全指证券公司指数(LOF)A,证券公司,399975,0000041,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=502010&orgId=jjjl0000041#latestAnnouncement
A股,行业,金融,001469,广发中证全指金融地产联接A,全指金融,000992,0000065,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=001469&orgId=jjjl0000065#latestAnnouncement
A股,行业,环保,001064,广发中证环保ETF联接A,中证环保,000827,0000065,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=001064&orgId=jjjl0000065#latestAnnouncement
A股,行业,信息,001513,易方达信息产业混合A,易方达信息产业,000993,0000041,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=001513&orgId=jjjl0000041#latestAnnouncement
