,日期,融资余额,融券余额,融资买入额,融券卖出额,证券公司数量,营业部数量,个人投资者数量,机构投资者数量,参与交易的投资者数量,有融资融券负债的投资者数量,担保物总价值,平均维持担保比例
0,2012-09-27,704.53,15.31,34.09,11.21,71,3680,,,,,,
1,2012-09-28,685.47,15.2,33.52,10.06,71,3710,,,,,,
2,2012-10-08,696.69,15.64,34.59,7.33,71,3707,,,,,,
3,2012-10-09,699.63,17.59,41.87,9.8,71,3713,,,,,,
4,2012-10-10,708.57,17.63,36.16,7.64,71,3718,,,,,,
5,2012-10-11,715.18,16.71,33.32,8.14,71,3735,,,,,,
6,2012-10-12,716.87,16.45,29.61,8.77,71,3749,,,,,,
7,2012-10-15,719.66,17.21,27.59,7.62,71,3757,,,,,,
8,2012-10-16,720.75,17.88,28.81,8.92,71,3765,,,,,,
9,2012-10-17,726.03,18.27,29.53,8.63,71,3770,,,,,,
10,2012-10-18,725.29,19.74,38.5,10.15,71,3773,,,,,,
11,2012-10-19,722.64,18.69,30.26,6.82,71,3785,,,,,,
12,2012-10-22,728.68,19.46,33.01,8.25,71,3794,,,,,,
13,2012-10-23,735.19,18.28,35.19,7.66,71,3800,,,,,,
14,2012-10-24,738.7,18.16,28.93,7.54,71,3804,,,,,,
15,2012-10-25,743.62,17.29,32.62,7.97,71,3809,,,,,,
16,2012-10-26,749.71,14.28,33.58,7.59,71,3818,,,,,,
17,2012-10-29,754.63,15.12,22.77,8.36,71,3823,,,,,,
18,2012-10-30,753.15,16.39,23.3,9.05,71,3827,,,,,,
19,2012-10-31,752.88,17.24,24.59,9.34,71,3832,,,,,,
20,2012-11-01,748.99,18.41,38.05,11.35,71,3838,,,,,,
21,2012-11-02,747.84,18.89,33.04,8.1,71,3844,,,,,,
22,2012-11-05,751.39,19.26,32.39,8.29,71,3848,,,,,,
23,2012-11-06,755.08,18.84,34.08,9.97,71,3852,,,,,,
24,2012-11-07,756.69,18.89,29.23,9.58,71,3854,,,,,,
25,2012-11-08,754.93,18.6,29.69,10.1,71,3859,,,,,,
26,2012-11-09,751.91,18.46,20.83,9.6,71,3865,,,,,,
27,2012-11-12,752.65,20.6,25.0,11.45,71,3873,,,,,,
28,2012-11-13,754.03,20.03,26.47,10.1,71,3875,,,,,,
29,2012-11-14,755.16,20.61,21.58,10.59,71,3876,,,,,,
30,2012-11-15,755.95,20.39,22.19,9.58,71,3881,,,,,,
31,2012-11-16,756.31,18.87,23.35,10.19,71,3887,,,,,,
32,2012-11-19,759.31,19.48,24.3,11.99,71,3889,,,,,,
33,2012-11-20,760.04,19.61,21.41,10.3,71,3895,,,,,,
34,2012-11-21,761.52,21.0,27.82,13.09,71,3898,,,,,,
35,2012-11-22,761.34,20.89,19.75,9.35,71,3907,,,,,,
36,2012-11-23,758.65,21.59,21.76,10.95,71,3912,,,,,,
37,2012-11-26,760.24,21.61,19.46,9.53,71,3915,,,,,,
38,2012-11-27,758.29,21.99,22.87,11.54,71,3916,,,,,,
39,2012-11-28,755.4,21.42,20.37,11.18,71,3926,,,,,,
40,2012-11-29,751.33,23.15,20.25,12.75,71,3932,,,,,,
41,2012-11-30,747.59,23.93,23.92,13.08,71,3937,,,,,,
42,2012-12-03,743.37,25.42,25.98,13.37,74,3956,,,,,,
43,2012-12-04,741.11,26.19,25.61,12.41,74,3961,,,,,,
44,2012-12-05,742.93,26.78,59.93,19.53,74,3964,,,,,,
45,2012-12-06,748.19,26.75,38.29,13.38,74,3972,,,,,,
46,2012-12-07,747.34,28.05,54.15,17.15,74,3977,,,,,,
47,2012-12-10,749.2,30.18,51.21,16.44,74,3982,,,,,,
48,2012-12-11,756.33,29.91,44.47,12.63,74,3985,,,,,,
49,2012-12-12,763.21,30.5,39.2,13.32,74,3991,,,,,,
50,2012-12-13,766.89,29.1,32.55,11.03,74,4000,,,,,,
51,2012-12-14,768.54,30.41,82.74,21.09,74,3860,,,,,,
52,2012-12-17,779.53,31.52,81.81,16.93,74,4014,,,,,,
53,2012-12-18,790.96,32.02,74.83,18.42,74,4017,,,,,,
54,2012-12-19,799.44,32.45,56.91,15.07,74,4019,,,,,,
55,2012-12-20,810.26,32.29,64.38,17.28,74,4025,,,,,,
56,2012-12-21,822.06,31.04,69.42,15.73,74,4030,,,,,,
57,2012-12-24,831.42,32.49,54.48,16.55,74,4037,,,,,,
58,2012-12-25,841.38,35.11,95.01,22.45,74,4044,,,,,,
59,2012-12-26,850.59,34.45,74.02,14.36,74,4053,,,,,,
60,2012-12-27,860.45,33.67,77.71,17.27,74,4057,,,,,,
61,2012-12-28,861.44,34.64,74.29,19.28,74,4057,,,,,,
62,2012-12-31,856.5,38.14,81.64,20.03,74,4060,,,,,,
63,2013-01-04,879.0,38.99,103.52,18.47,74,4064,,,,,,
64,2013-01-07,899.94,40.67,79.83,16.1,74,4067,,,,,,
65,2013-01-08,914.05,38.78,80.55,15.64,74,4072,,,,,,
66,2013-01-09,925.53,38.61,82.14,16.63,74,4080,,,,,,
67,2013-01-10,937.69,39.93,80.68,17.37,74,4081,,,,,,
68,2013-01-11,943.84,36.16,81.14,15.17,74,4083,,,,,,
69,2013-01-14,963.09,40.03,115.82,23.6,74,4084,,,,,,
70,2013-01-15,981.51,41.29,117.03,18.84,74,4091,,,,,,
71,2013-01-16,995.97,39.66,107.25,18.71,74,4094,,,,,,
72,2013-01-17,1011.83,37.91,82.15,17.69,74,4100,,,,,,
73,2013-01-18,1010.84,39.67,84.94,19.25,74,4107,,,,,,
74,2013-01-21,1032.58,42.23,97.52,19.87,74,4114,,,,,,
